date,dkk_eur
03/02/2019,0.13393
04/02/2019,0.13394
05/02/2019,0.13395
06/02/2019,0.13396
07/02/2019,0.13398
08/02/2019,0.13398
11/02/2019,0.13399
12/02/2019,0.13399
13/02/2019,0.13402
14/02/2019,0.13404
15/02/2019,0.13401
17/02/2019,0.134
18/02/2019,0.134040352
19/02/2019,0.13402
20/02/2019,0.134
22/02/2019,0.13401
25/02/2019,0.13402
27/02/2019,0.13402
28/02/2019,0.13402
01/03/2019,0.13403
04/03/2019,0.13401
05/03/2019,0.13401
06/03/2019,0.13402
07/03/2019,0.13405
13/03/2019,0.13402
14/03/2019,0.13401
15/03/2019,0.13397
18/03/2019,0.134
19/03/2019,0.13401
21/03/2019,0.134
22/03/2019,0.13399
25/03/2019,0.13397
26/03/2019,0.13394
28/03/2019,0.13394
29/03/2019,0.13396
01/04/2019,0.13393
02/04/2019,0.13395
03/04/2019,0.13395
04/04/2019,0.13396
05/04/2019,0.13393
08/04/2019,0.13393
09/04/2019,0.13394
11/04/2019,0.13395
12/04/2019,0.13398
15/04/2019,0.134
16/04/2019,0.13395
19/04/2019,0.13387
23/04/2019,0.13392
24/04/2019,0.13392
26/04/2019,0.13393
29/04/2019,0.13393
30/04/2019,0.13393
01/05/2019,0.13393
02/05/2019,0.13393
03/05/2019,0.13385
06/05/2019,0.13392
07/05/2019,0.13394
08/05/2019,0.13394
10/05/2019,0.13394
11/05/2019,#N/A
13/05/2019,0.13391
14/05/2019,0.13391
15/05/2019,0.13389
21/05/2019,0.13389
24/05/2019,0.13384
27/05/2019,0.13393
28/05/2019,0.13392
29/05/2019,0.13388
30/05/2019,0.13389
01/06/2019,#N/A
03/06/2019,0.1339
04/06/2019,0.13389
06/06/2019,0.1339
07/06/2019,0.13386
09/06/2019,0.13389
11/06/2019,0.13389
12/06/2019,0.13391
13/06/2019,0.13391
14/06/2019,0.13383
15/06/2019,0.13392
17/06/2019,0.1339
20/06/2019,0.13392
22/06/2019,#N/A
23/06/2019,0.13393
24/06/2019,0.13392
25/06/2019,0.13394
26/06/2019,0.13395
28/06/2019,0.1339
29/06/2019,#N/A
01/07/2019,0.13397
02/07/2019,0.13396
03/07/2019,0.13399
04/07/2019,0.13398
05/07/2019,0.13396
06/07/2019,0.13396
07/07/2019,0.13399
08/07/2019,0.13401
10/07/2019,0.13395
12/07/2019,0.13384
13/07/2019,#N/A
14/07/2019,0.13391
15/07/2019,0.13391
16/07/2019,0.13391
17/07/2019,0.1339
18/07/2019,0.13393
19/07/2019,0.13388
20/07/2019,0.13396
21/07/2019,0.13393
22/07/2019,0.13393
26/07/2019,0.13282
27/07/2019,#N/A
28/07/2019,0.1339
30/07/2019,0.1339
31/07/2019,0.1339
01/08/2019,0.13392
02/08/2019,0.13387
04/08/2019,0.13392
05/08/2019,0.13397
07/08/2019,0.134
08/08/2019,0.134
09/08/2019,0.13397
12/08/2019,0.13397
13/08/2019,0.13399
14/08/2019,0.13404
15/08/2019,0.13405
16/08/2019,0.13406
19/08/2019,0.13409
20/08/2019,0.13411
23/08/2019,0.13399
24/08/2019,0.13377
25/08/2019,0.1341
26/08/2019,0.13408
27/08/2019,0.13409
28/08/2019,0.13411
29/08/2019,0.13411
30/08/2019,0.13405
02/09/2019,0.1341
03/09/2019,0.13409
04/09/2019,0.13406
05/09/2019,0.13404
07/09/2019,0.13367
08/09/2019,0.13401
11/09/2019,0.13403
12/09/2019,0.13398
13/09/2019,0.13388
16/09/2019,0.13391
17/09/2019,0.1339
18/09/2019,0.13389
19/09/2019,0.13389
20/09/2019,0.13391
21/09/2019,#N/A
23/09/2019,0.13392
24/09/2019,0.13395
26/09/2019,0.13391
27/09/2019,0.13393
28/09/2019,0.13393
30/09/2019,0.13393
01/10/2019,0.13392
02/10/2019,0.13394
03/10/2019,0.13392
04/10/2019,0.13389
07/10/2019,0.13387
08/10/2019,0.13388
10/10/2019,0.13389
11/10/2019,0.13376
14/10/2019,0.13387
15/10/2019,0.1338489
16/10/2019,0.1338455
17/10/2019,0.1338419
18/10/2019,0.1337923
20/10/2019,0.13384
21/10/2019,0.13384
22/10/2019,0.13384
23/10/2019,0.1338491
24/10/2019,0.13385
25/10/2019,0.1337596
28/10/2019,0.133836
29/10/2019,0.1338416
30/10/2019,0.1338437
31/10/2019,0.133838
01/11/2019,0.1337757
04/11/2019,0.1338419
05/11/2019,0.1338204
06/11/2019,0.13383
07/11/2019,0.13381
08/11/2019,0.1337886
09/11/2019,0.13386
10/11/2019,0.133821
11/11/2019,0.1338217
12/11/2019,0.133819
13/11/2019,0.1338133
14/11/2019,0.1338108
15/11/2019,0.133788
18/11/2019,0.1338222
19/11/2019,0.133807
20/11/2019,0.133802
21/11/2019,0.1338133
22/11/2019,0.133793
23/11/2019,0.133883147
25/11/2019,0.1338237
26/11/2019,0.133827
27/11/2019,0.1338348
28/11/2019,0.1338306
29/11/2019,0.1338054
01/12/2019,0.133823
02/12/2019,0.133833
03/12/2019,0.133824
04/12/2019,0.133832
05/12/2019,0.1338384
06/12/2019,0.1338031
09/12/2019,0.1338054
10/12/2019,0.1338061
12/12/2019,0.1338169
13/12/2019,0.1336963
17/12/2019,0.133808
18/12/2019,0.133815
19/12/2019,0.1338276
20/12/2019,0.1337084
21/12/2019,0.13391524
23/12/2019,0.133833
24/12/2019,0.1338348
27/12/2019,0.1282073
30/12/2019,0.133831
01/01/2020,0.1338401
02/01/2020,0.1338066
03/01/2020,0.1337739
06/01/2020,0.133798
07/01/2020,0.133804
08/01/2020,0.1338104
09/01/2020,0.1338025
10/01/2020,0.1337879
12/01/2020,0.133802
13/01/2020,0.133803
15/01/2020,0.133811
16/01/2020,0.1338115
17/01/2020,0.1338151
18/01/2020,0.133806115
19/01/2020,0.133811
20/01/2020,0.13382
21/01/2020,0.1338133
22/01/2020,0.133807
23/01/2020,0.133807
27/01/2020,0.1338115
28/01/2020,0.133807
29/01/2020,0.13381
30/01/2020,0.133811
01/02/2020,0.133827603
02/02/2020,0.13381
03/02/2020,0.1338058
05/02/2020,0.1338097
06/02/2020,0.1338186
07/02/2020,0.133833
09/02/2020,0.1338179
10/02/2020,0.133813
11/02/2020,0.133824
13/02/2020,0.133833
15/02/2020,0.133880458
17/02/2020,0.133845
18/02/2020,0.133862
19/02/2020,0.1338778
21/02/2020,0.1338634
22/02/2020,0.133879562
23/02/2020,0.1338627
24/02/2020,0.1338437
25/02/2020,0.1338477
26/02/2020,0.133821
27/02/2020,0.133819
28/02/2020,0.1338133
01/03/2020,0.1338315
02/03/2020,0.133807
03/03/2020,0.133807
04/03/2020,0.1338133
06/03/2020,0.1335877
09/03/2020,0.133914
10/03/2020,0.133792
11/03/2020,0.133818
12/03/2020,0.133785
13/03/2020,0.1336988
16/03/2020,0.1338049
17/03/2020,0.1337886
19/03/2020,0.133784
20/03/2020,0.1338294
23/03/2020,0.133861
24/03/2020,0.133905
30/03/2020,0.1338866
01/04/2020,0.1339436
03/04/2020,0.1339441
06/04/2020,0.1339423
07/04/2020,0.1339122
14/04/2020,0.1339823
15/04/2020,0.1339872
17/04/2020,0.133692
20/04/2020,0.134064
21/04/2020,0.1340921
22/04/2020,0.134068
23/04/2020,0.1340896
24/04/2020,0.134077
27/04/2020,0.1340914
29/04/2020,0.1340752
01/05/2020,0.1339047
04/05/2020,0.1340262
06/05/2020,0.1340339
07/05/2020,0.1340357
10/05/2020,0.13405
11/05/2020,0.13406
13/05/2020,0.1341094
18/05/2020,0.1341202
25/05/2020,0.1341184
26/05/2020,0.1340529
29/05/2020,0.1335597
30/05/2020,0.134355149
31/05/2020,0.134148
01/06/2020,0.134118
02/06/2020,0.134145
03/06/2020,0.1341284
04/06/2020,0.134125
05/06/2020,0.1341022
07/06/2020,0.1341094
08/06/2020,0.1341306
09/06/2020,0.1341306
10/06/2020,0.13414
11/06/2020,0.1341371
14/06/2020,0.134128
15/06/2020,0.134114
16/06/2020,0.1341051
17/06/2020,0.1341374
18/06/2020,0.1341238
19/06/2020,0.1341094
22/06/2020,0.134131
23/06/2020,0.134165
24/06/2020,0.1341312
26/06/2020,0.1341051
29/06/2020,0.1341749
30/06/2020,0.134172
01/07/2020,0.13418
04/07/2020,0.13420477
06/07/2020,0.1341864
07/07/2020,0.1341996
09/07/2020,0.1342471
10/07/2020,0.1342588
12/07/2020,0.134259
13/07/2020,0.1343102
14/07/2020,0.1343
15/07/2020,0.1342841
16/07/2020,0.1342985
18/07/2020,0.13432916
19/07/2020,0.134311
20/07/2020,0.1343165
21/07/2020,0.1343689
22/07/2020,0.1343634
23/07/2020,0.134336
24/07/2020,0.1343526
25/07/2020,0.134369592
26/07/2020,0.134337
27/07/2020,0.134358
28/07/2020,0.1343418
29/07/2020,0.134353
30/07/2020,0.1343255
31/07/2020,0.1342532
01/08/2020,0.134296869
03/08/2020,0.134275
04/08/2020,0.134228
05/08/2020,0.134203
06/08/2020,0.1342372
07/08/2020,0.134257
08/08/2020,0.134257
09/08/2020,0.134256
10/08/2020,0.134304
11/08/2020,0.134264
12/08/2020,0.1342841
14/08/2020,0.1342606
18/08/2020,0.1342951
21/08/2020,0.1342956
24/08/2020,0.13435
29/08/2020,0.134365259
30/08/2020,0.134355
31/08/2020,0.1343317
01/09/2020,0.1343297
02/09/2020,0.1343629
03/09/2020,0.134389
04/09/2020,0.1342987
05/09/2020,0.134600371
07/09/2020,0.1343869
08/09/2020,0.1343797
10/09/2020,0.13439
11/09/2020,0.1344086
15/09/2020,0.134393
16/09/2020,0.1343961
17/09/2020,0.1343974
21/09/2020,0.1343905
22/09/2020,0.1343736
24/09/2020,0.1343261
25/09/2020,0.1343292
28/09/2020,0.134304
29/09/2020,0.1342888
30/09/2020,0.1343088
01/10/2020,0.134338
05/10/2020,0.1343876
06/10/2020,0.1343815
09/10/2020,0.1343779
10/10/2020,0.134417094
12/10/2020,0.1343667
13/10/2020,0.134336
15/10/2020,0.134351
16/10/2020,0.1343707
18/10/2020,0.134362
19/10/2020,0.1343707
20/10/2020,0.134335
21/10/2020,0.1343689
22/10/2020,0.134383
24/10/2020,0.134394151
25/10/2020,0.134368
26/10/2020,0.134384
27/10/2020,0.134388
28/10/2020,0.1343147
29/10/2020,0.134304
30/10/2020,0.1342696
01/11/2020,0.134305
02/11/2020,0.134275
03/11/2020,0.134274
04/11/2020,0.1343053
07/11/2020,0.134703901
10/11/2020,0.1343014
11/11/2020,0.1342954
12/11/2020,0.1342998
13/11/2020,0.1340675
15/11/2020,0.134217
16/11/2020,0.134284
17/11/2020,0.1342588
18/11/2020,0.1341772
19/11/2020,0.134198
20/11/2020,0.134257
21/11/2020,#N/A
23/11/2020,0.1343075
24/11/2020,0.1343454
